"","priority","level","theme","module","indicator","index","type","name","label_english","label_french","hint_english","hint_french","calculation","required","relevant","constraint","default","repeat_count","constraint_message_english","constraint_message_french","appearance","choice_filter","parameters","dataset","function_to_compose","r_package"
"50","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",NA,"calculate","ind_age_0_5","Child aged 0 to 5",NA,NA,NA,"if(${ind_age} >= 0 and ${ind_age} <= 5, 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",39,"calculate","ind_f_age_above18","Adult female member",NA,NA,NA,"if(selected(${ind_gender}, ""female"") and ${ind_age} >= 18, 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",40,"calculate","ind_m_age_above18","Adult male member",NA,NA,NA,"if(selected(${ind_gender}, ""male"") and ${ind_age} >= 18, 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1","loop","Demographics","Demographics - individual","Calculate - used for constraints later only",NA,"calculate","ind_age_schooling","Member aged 5 to 18",NA,NA,NA,"if(${ind_age} >= 5 and ${ind_age} <= 18, 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2","loop",NA,NA,NA,NA,"begin_group","group_wgss","Washingtown group questions
Individual #${ind_pos} - age ${ind_age} - gender ${ind_gender}","Questions washingtown group
Individu #${ind_pos} - age ${ind_age} - gender ${ind_gender}",NA,NA,NA,NA,"${ind_age} >= 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2","loop",NA,NA,NA,NA,"note","note_wgss","Note for the interviewer to read: The following questions ask about the difficulties that each member of your household aged 5 and over may have in doing certain activities because of a HEALTH PROBLEM. If the person is present, I would like to speak to them directly. If he/she is not present or is between 5 and 18 years old, I would like to speak to the person who usually looks after him/her. If the usual carer is not present, I would like to speak to you or the head of the household about their situation.","Note pour l'enquêteur à lire : Les questions suivantes portent sur les difficultés que chaque membre de votre ménage âgé 5 ans et plus peut éprouver en faisant certaines activités du fait d'un PROBLÈME DE SANTÉ. Si la personne est présente, je voudrais lui parler directement. Si elle n'est pas présente ou est entre 5 et 18 ans, je voudrais parler à la personne qui s'occupe habituellement de lui / elle. Si la personne qui s'occupe habituellement de lui / elle n'est pas présente, je voudrais parler à vous ou au chef du ménage de leur situation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2","loop","Demographics","Demographics - individual","Individual available for washingtown group",NA,"select_one l_direct_proxy","direct_proxy","Is [Individual #${ind_pos} - -  Age: ${ind_age}, Gender: ${ind_gender}] available now to answer a few questions about their difficulties doing certain activities?","La [personne #${ind_pos} - - Âge : ${ind_age}, Sexe : ${ind_gender}] est-elle disponible pour répondre à quelques questions sur les difficultés qu'elle éprouve à effectuer certaines activités ?",NA,NA,NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2","loop","Demographics","Demographics - individual","Caregiver available for washingtown group",NA,"select_one l_caregiver_available","caregiver_available","Is the person who usually cares for her / him available to answer a few questions about their difficulties doing certain activities?","La personne qui s'occupe habituellement d'elle est-elle disponible pour répondre à quelques questions sur ses difficultés à effectuer certaines activités ?",NA,NA,NA,"yes","selected(${direct_proxy},'no') or ${ind_age} >= 5 and ${ind_age} < 18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2","loop","Demographics","Demographics - individual","Proxy respondent gender for  Washingtown group",NA,"select_one l_gender","proxy_resp_gender","What is the gender of the proxy respondent?","Quel est le sexe du répondant par procuration ?",NA,NA,NA,"yes","selected(${direct_proxy},'yes_interpreter')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2","loop","Demographics","Demographics - individual","Proxy respondent age for  Washingtown group",NA,"integer","proxy_resp_age","What is the age of the proxy respondent?","Quel est l'âge du répondant par procuration ?",NA,NA,NA,"yes","selected(${direct_proxy},'yes_interpreter')",". <=120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","2","loop",NA,NA,NA,NA,"begin_group","ind_difficulty_list","Difficulties list","Liste des difficultés",NA,NA,NA,NA,"${ind_age} >= 5",NA,NA,NA,NA,NA,"field-list",NA,NA,NA,NA,NA
"61","2","loop","Demographics","Demographics - individual","Individual difficulty seeing",NA,"select_one l_difficulty","wgq_vision","Does he/she has difficulty seeing, even if wearing glasses? Would you say…","A-t-il/elle des difficultés à voir, même s'il/elle porte des lunettes ? Diriez-vous...","Read response options out loud.","Lire les options de réponse à voix haute.",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","2","loop","Demographics","Demographics - individual","Individual difficulty hearing",NA,"select_one l_difficulty","wgq_hearing","Does he/she has difficulty hearing, even if using a hearing aid(s)? Would you say…","A-t-il/elle des difficultés à entendre, même s'il/elle utilise un ou des appareils auditifs ? Diriez-vous que...","Read response options out loud.","Lire les options de réponse à voix haute.",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2","loop","Demographics","Demographics - individual","Individual difficulty walking",NA,"select_one l_difficulty","wgq_mobility","Does he/she has difficulty walking or climbing steps? Would you say…","A-t-il/elle des difficultés à marcher ou à monter des marches ? Diriez-vous...","Read response options out loud.","Lire les options de réponse à voix haute.",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2","loop","Demographics","Demographics - individual","Individual difficulty remembering",NA,"select_one l_difficulty","wgq_cognition","Does he/she has difficulty remembering or concentrating? Would you say…","A-t-il/elle des difficultés à se souvenir ou à se concentrer ? Diriez-vous que...","Read response options out loud.","Lire les options de réponse à voix haute.",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2","loop","Demographics","Demographics - individual","Individual difficulty self-care",NA,"select_one l_difficulty","wgq_self_care","Does he/she has difficulty with self-care, such as washing all over or dressing? Would you say…","A-t-il/elle des difficultés à prendre soin de lui-même/elle-même, par exemple à se laver ou à s'habiller ? Diriez-vous que...","Read response options out loud.","Lire les options de réponse à voix haute.",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","2","loop","Demographics","Demographics - individual","Individual difficulty communicating",NA,"select_one l_difficulty","wgq_communication","Using his/her usual language, does he/she has difficulty communicating, for example understanding or being understood? Would you say…","En utilisant sa langue habituelle, a-t-il/elle des difficultés à communiquer, par exemple à comprendre ou à se faire comprendre ? Diriez-vous que...","Read response options out loud.","Lire les options de réponse à voix haute.",NA,"yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2","loop",NA,NA,NA,NA,"end_group","ind_difficulty_list",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2","loop",NA,NA,NA,NA,"end_group","group_wgss",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1","loop",NA,NA,NA,NA,"end_repeat","roster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","1","loop",NA,NA,NA,NA,"calculate","ind_age_2_11_n","Number of members aged 2 to 11",NA,NA,NA,"sum(${ind_age_2_11})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","1","loop",NA,NA,NA,NA,"calculate","ind_f_n","Number of female members",NA,NA,NA,"sum(${ind_f})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1","loop",NA,NA,NA,NA,"calculate","ind_age_5_17_n","Number of members aged 5 to 17",NA,NA,NA,"sum(${ind_age_5_17})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","1","loop",NA,NA,NA,NA,"calculate","ind_m_age_5_17_n","Number of boys aged 5 to 17",NA,NA,NA,"sum(${ind_m_age_5_17})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","1","loop",NA,NA,NA,NA,"calculate","ind_f_age_5_17_n","Number of girls aged 5 to 17",NA,NA,NA,"sum(${ind_f_age_5_17})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","1","loop",NA,NA,NA,NA,"calculate","ind_age_0_1_n","Number of children aged 0 to 1",NA,NA,NA,"sum(${ind_age_0_1})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","1","loop",NA,NA,NA,NA,"calculate","ind_age_0_4_n","Number of children aged 0 to 4",NA,NA,NA,"sum(${ind_age_0_4})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1","loop",NA,NA,NA,NA,"calculate","ind_age_0_5_n","Number of children aged 0 to 5",NA,NA,NA,"sum(${ind_age_0_5})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","1","loop",NA,NA,NA,NA,"calculate","ind_f_age_above18_n","Number of adult female members",NA,NA,NA,"sum(${ind_f_age_above18})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","1","loop",NA,NA,NA,NA,"calculate","ind_m_age_above18_n","Number of adult male members",NA,NA,NA,"sum(${ind_m_age_above18})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1","loop",NA,NA,NA,NA,"calculate","ind_age_schooling_n","Number of members aged 5 to 18",NA,NA,NA,"sum(${ind_age_schooling})",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","1","loop",NA,NA,NA,NA,"calculate","ind_potentially_hoh","Number of members that match the age and gender of the head of household",NA,NA,NA,"if((selected(${resp_hoh_yn}, 'yes') and ${resp_age}=${ind_age} and ${resp_gender}=${ind_gender} ) or ( selected(${resp_hoh_yn}, 'no') and ${hoh_age}=${ind_age} and ${hoh_gender}=${ind_gender} ), 1, 0)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","1","main",NA,NA,NA,NA,"end_group","demographics","Demographics","Démographie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","1","main",NA,NA,NA,NA,"begin_group","aap","Accountability to affected populations","Redevabilité envers les populations affectées",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","1","main","AAP","Priority Needs","% of households reporting challenges, by type of challenge (top 3)",513,"note","note_aap","The following two questions will address the challenges your household is currently facing. 

In the first question, we'll inquire about the challenges you're experiencing, including those you believe humanitarian actors may not adequately address. 

The third question aims to identify specific areas and services  where you would appreciate support from humanitarian actors. 

Please note that you can provide different answers to each question based on your situation.","Les deux questions suivantes portent sur les défis auxquels votre ménage est actuellement confronté. 

Dans la première question, nous vous demanderons quels sont les défis que vous rencontrez, y compris ceux que vous pensez que les acteurs humanitaires n'abordent pas de manière adéquate. 

La troisième question vise à identifier les domaines et les services spécifiques pour lesquels vous souhaiteriez un soutien de la part des acteurs humanitaires. 

Veuillez noter que vous pouvez donner des réponses différentes à chaque question en fonction de votre situation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","1","main","AAP","Priority Needs","% of households reporting challenges, by type of challenge (top 3)",514,"select_multiple l_aap_priority_challenge","aap_priority_challenge","What are the most significant challenges that your household is facing at the moment?","Quels sont les défis les plus importants auxquels votre ménage est actuellement confronté ?","Up to 3 responses","3 choix au maximum",NA,"TRUE",NA,"(not((selected(., 'none') or selected(., 'dnk') or selected(., 'pnta')) and count-selected(.)>1)) and count-selected(.)<4",NA,NA,"Cannot select ""None"", ""Prefer not to answer"", ""Don't know"" with any other option

At most 3 selected","Ne peut pas sélectionner ""Aucun"", ""Préfère ne pas répondre"", ""Ne sait pas"" avec une autre réponse.

3 choix maximum",NA,NA,NA,NA,NA,NA
"86","1","main","AAP","Priority Needs","% of households reporting receiving any support from their community to face challenges",514,"text","other_aap_priority_challenge","If other, please specify:","Si autre, merci de préciser :",NA,NA,NA,"TRUE","selected(${aap_priority_challenge},'other')",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
