"","theme","var","analysis","indicator","na_rm","subset","recall","dataset","weighted","function_to_compose","r_package"
"42","WASH","wash_sanitation_facility_cat","select_one","% of households by category of the type of sanitation facility","yes",NA,NA,"main","yes","add_sanitation_facility_cat","humind"
"43","WASH","wash_sharing_sanitation_facility_cat","select_one","% of households by sharing status of the sanitation facility","yes",NA,NA,"main","yes","add_sharing_sanitation_facility_cat","humind"
"44","WASH","wash_sharing_sanitation_facility_n_ind","select_one","% of households by category of the number of individuals sharing the sanitation facility","yes",NA,NA,"main","yes","add_sharing_sanitation_facility_n_ind","humind"
"45","WASH","wash_sanitation_facility_jmp_cat","select_one","% of households by JMP ladder category - Sanitation facility","yes",NA,NA,"main","yes","add_sanitation_facility_jmp_cat","humind"
"46","WASH","wash_handwashing_facility_jmp_cat","select_one","% of households by JMP ladder category – Handwashing facility","yes",NA,NA,"main","yes","add_handwashing_facility_cat","humind"
"47","Health","health_ind_healthcare_needed_no_n,hh_size","ratio","% of individuals without healthcare needs","yes",NA,NA,"main","yes","add_loop_healthcare_needed_cat,add_loop_healthcare_needed_cat_to_main","humind"
"48","Health","health_ind_healthcare_needed_yes_unmet_n,hh_size","ratio","% of individuals with unmet healthcare needs","yes",NA,NA,"main","yes","add_loop_healthcare_needed_cat,add_loop_healthcare_needed_cat_to_main","humind"
"49","Health","health_ind_healthcare_needed_yes_met_n,hh_size","ratio","% of individuals with met healthcare needs","yes",NA,NA,"main","yes","add_loop_healthcare_needed_cat,add_loop_healthcare_needed_cat_to_main","humind"
"50","Health","health_ind_healthcare_needed_no_wgq_dis_n,hh_size","ratio","% of individuals with a disability and without healthcare needs","yes",NA,NA,"main","yes","add_loop_healthcare_needed_cat,add_loop_healthcare_needed_cat_to_main","humind"
"51","Health","health_ind_healthcare_needed_yes_unmet_wgq_dis_n,hh_size","ratio","% of individuals with a disability and unmet healthcare needs","yes",NA,NA,"main","yes","add_loop_healthcare_needed_cat,add_loop_healthcare_needed_cat_to_main","humind"
"52","Health","health_ind_healthcare_needed_yes_unmet_wgq_dis_n,hh_size","ratio","% of individuals with a disability and met healthcare needs","yes",NA,NA,"main","yes","add_loop_healthcare_needed_cat,add_loop_healthcare_needed_cat_to_main","humind"
"53","MSNI framework","comp_health_score","select_one","% of households by sectoral composite score - Health","yes",NA,NA,"main","yes","add_comp_health","humind"
"54","MSNI framework","comp_prot_score","select_one","% of households by sectoral composite score - Protection","yes",NA,NA,"main","yes","add_comp_prot","humind"
"55","MSNI framework","comp_prot_child_sep_cat","select_one","% of households by sectoral sub-composite score - Protection - Child separation","yes",NA,NA,"main","yes","add_comp_prot","humind"
"56","MSNI framework","comp_prot_score_concern","select_one","% of households by sectoral sub-composite score - Protection - Perceived risks","yes",NA,NA,"main","yes","add_comp_prot","humind"
"57","MSNI framework","comp_edu_score","select_one","% of households by sectoral composite score - Education","yes",NA,NA,"main","yes","add_comp_edu","humind"
"58","MSNI framework","comp_edu_score_disrupted","select_one","% of households by sectoral sub-composite score - Education - Disruption","yes",NA,NA,"main","yes","add_comp_edu","humind"
"59","MSNI framework","comp_edu_score_attendance","select_one","% of households by sectoral sub-composite score - Education - Attendance","yes",NA,NA,"main","yes","add_comp_edu","humind"
"60","MSNI framework","comp_foodsec_score","select_one","% of households by sectoral composite score - Food security","yes",NA,NA,"main","yes","add_comp_foodsec","humind"
"61","MSNI framework","comp_wash_score_water_quantity","select_one","% of households by sectoral sub-composite score - WASH - Drinking water quantity","yes",NA,NA,"main","yes","add_comp_wash","humind"
"62","MSNI framework","comp_wash_score_water_quality","select_one","% of households by sectoral sub-composite score - WASH - Drinking water quality","yes",NA,NA,"main","yes","add_comp_wash","humind"
"63","MSNI framework","comp_wash_score_sanitation","select_one","% of households by sectoral sub-composite score - WASH - Sanitation","yes",NA,NA,"main","yes","add_comp_wash","humind"
"64","MSNI framework","comp_wash_score_hygiene","select_one","% of households by sectoral sub-composite score - WASH - Hygiene","yes",NA,NA,"main","yes","add_comp_wash","humind"
"65","MSNI framework","comp_snfi_score","select_one","% of households by sectoral composite score - SNFI","yes",NA,NA,"main","yes","add_comp_snfi","humind"
"66","MSNI framework","comp_snfi_score_shelter_type_cat","select_one","% of households by sectoral sub-composite score - SNFI - Shelter type","yes",NA,NA,"main","yes","add_comp_snfi","humind"
"67","MSNI framework","comp_snfi_score_shelter_issue_cat","select_one","% of households by sectoral sub-composite score - SNFI - Shelter issues","yes",NA,NA,"main","yes","add_comp_snfi","humind"
"68","MSNI framework","comp_snfi_score_occupancy_cat","select_one","% of households by sectoral sub-composite score - SNFI - Occupancy arrangement","yes",NA,NA,"main","yes","add_comp_snfi","humind"
"69","MSNI framework","comp_snfi_score_fds_cannot_cat","select_one","% of households by sectoral sub-composite score - SNFI - Functional domestic space","yes",NA,NA,"main","yes","add_comp_snfi","humind"
"70","MSNI framework","comp_health_in_need","select_one","% of households by sectoral composite - In need - Health","yes",NA,NA,"main","yes","add_comp_health","humind"
"71","MSNI framework","comp_prot_in_need","select_one","% of households by sectoral composite - In need - Protection","yes",NA,NA,"main","yes","add_comp_prot","humind"
"72","MSNI framework","comp_edu_in_need","select_one","% of households by sectoral composite - In need - Education","yes",NA,NA,"main","yes","add_comp_edu","humind"
"73","MSNI framework","comp_foodsec_in_need","select_one","% of households by sectoral composite - In need - Food security","yes",NA,NA,"main","yes","add_comp_foodsec","humind"
"74","MSNI framework","comp_wash_in_need","select_one","% of households by sectoral composite - In need - WASH","yes",NA,NA,"main","yes","add_comp_wash","humind"
"75","MSNI framework","comp_snfi_in_need","select_one","% of households by sectoral composite - In need - SNFI","yes",NA,NA,"main","yes","add_comp_snfi","humind"
"76","MSNI framework","comp_health_in_acute_need","select_one","% of households by sectoral composite - In acute need - Health","yes",NA,NA,"main","yes","add_comp_health","humind"
"77","MSNI framework","comp_prot_in_acute_need","select_one","% of households by sectoral composite - In acute need - Protection","yes",NA,NA,"main","yes","add_comp_prot","humind"
"78","MSNI framework","comp_edu_in_acute_need","select_one","% of households by sectoral composite - In acute need - Education","yes",NA,NA,"main","yes","add_comp_edu","humind"
"79","MSNI framework","comp_foodsec_in_acute_need","select_one","% of households by sectoral composite - In acute need - Food security","yes",NA,NA,"main","yes","add_comp_foodsec","humind"
"80","MSNI framework","comp_wash_in_acute_need","select_one","% of households by sectoral composite - In acute need - WASH","yes",NA,NA,"main","yes","add_comp_wash","humind"
"81","MSNI framework","comp_snfi_in_acute_need","select_one","% of households by sectoral composite - In acute need - SNFI","yes",NA,NA,"main","yes","add_comp_snfi","humind"
"82","MSNI framework","msni_score","select_one","% of households by Multi-Sectoral Needs Index (MSNI) score","yes",NA,NA,"main","yes","add_msni","humind"
"83","MSNI framework","msni_in_need","select_one","% of households in need (metric 1)","yes",NA,NA,"main","yes","add_msni","humind"
"84","MSNI framework","msni_in_acute_need","select_one","% of households in acute need (metric 2)","yes",NA,NA,"main","yes","add_msni","humind"
"85","MSNI framework","sector_in_need_n","mean","Average number of sectoral needs (metric 3)","yes",NA,NA,"main","yes","add_msni","humind"
"86","MSNI framework","sector_needs_profile","select_one","% of households by sectoral needs profile (metric 4)","yes",NA,NA,"main","yes","add_msni","humind"
"87","Food security","fsl_lcsi_cat","select_one","% of households by LCSI category - at least one used","yes",NA,NA,"main","yes","add_lcsi","humind"
"88","Food security","fsl_lcsi_cat_exhaust","select_one","% of households by LCSI category - at least one used or exhausted","yes",NA,NA,"main","yes","add_lcsi","humind"
"89","Food security","fsl_hhs_score","select_one","% of households by HHS score","yes",NA,NA,"main","yes","add_hhs","humind"
"90","Food security","fsl_hhs_cat","select_one","% of households by HHS category","yes",NA,NA,"main","yes","add_hhs","humind"
"91","Food security","fsl_hhs_cat_ipc","select_one","% of households by HHS IPC category","yes",NA,NA,"main","yes","add_hhs","humind"
"92","Food security","fsl_rcsi_score","mean","Mean of rCSI score","yes",NA,NA,"main","yes","add_rcsi","humind"
"93","Food security","fsl_rcsi_cat","select_one","% of households by rCSI category","yes",NA,NA,"main","yes","add_rcsi","humind"
"94","Food security","fsl_fcs_score","mean","Average of FCS score","yes",NA,NA,"main","yes","add_fcs","humind"
"95","Food security","fsl_fcs_cat","select_one","% of households by FCS category","yes",NA,NA,"main","yes","add_fcs","humind"
"96","Food security","fsl_fc_cell","mean","Mean of HCIM cell","yes",NA,NA,"main","yes","add_fcm_phase","humind"
"97","Food security","fsl_fc_phase","select_one","% of households by HCIM FC Phase","yes",NA,NA,"main","yes","add_fcm_phase","humind"
